county,state,cbsa,kind
Ramsey County,Minnesota,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area
Scott County,Minnesota,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area
Sherburne County,Minnesota,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area
Washington County,Minnesota,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area
Wright County,Minnesota,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area
Pierce County,Wisconsin,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area
St. Croix County,Wisconsin,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area
McHenry County,North Dakota,"Minot, ND",Metropolitan Statistical Area
Renville County,North Dakota,"Minot, ND",Metropolitan Statistical Area
Ward County,North Dakota,"Minot, ND",Metropolitan Statistical Area
Mineral County,Montana,"Missoula, MT",Metropolitan Statistical Area
Missoula County,Montana,"Missoula, MT",Metropolitan Statistical Area
Davison County,South Dakota,"Mitchell, SD",Micropolitan Statistical Area
Hanson County,South Dakota,"Mitchell, SD",Micropolitan Statistical Area
Sanborn County,South Dakota,"Mitchell, SD",Micropolitan Statistical Area
Randolph County,Missouri,"Moberly, MO",Micropolitan Statistical Area
Mobile County,Alabama,"Mobile, AL",Metropolitan Statistical Area
Stanislaus County,California,"Modesto, CA",Metropolitan Statistical Area
Morehouse Parish,Louisiana,"Monroe, LA",Metropolitan Statistical Area
Ouachita Parish,Louisiana,"Monroe, LA",Metropolitan Statistical Area
Richland Parish,Louisiana,"Monroe, LA",Metropolitan Statistical Area
Union Parish,Louisiana,"Monroe, LA",Metropolitan Statistical Area
Monroe County,Michigan,"Monroe, MI",Metropolitan Statistical Area
Autauga County,Alabama,"Montgomery, AL",Metropolitan Statistical Area
Elmore County,Alabama,"Montgomery, AL",Metropolitan Statistical Area
Lowndes County,Alabama,"Montgomery, AL",Metropolitan Statistical Area
Montgomery County,Alabama,"Montgomery, AL",Metropolitan Statistical Area
White County,Indiana,"Monticello, IN",Micropolitan Statistical Area
Sullivan County,New York,"Monticello, NY",Micropolitan Statistical Area
Montrose County,Colorado,"Montrose, CO",Micropolitan Statistical Area
Carteret County,North Carolina,"Morehead City, NC",Micropolitan Statistical Area
St. Mary Parish,Louisiana,"Morgan City, LA",Micropolitan Statistical Area
Monongalia County,West Virginia,"Morgantown, WV",Metropolitan Statistical Area
Preston County,West Virginia,"Morgantown, WV",Metropolitan Statistical Area
Hamblen County,Tennessee,"Morristown, TN",Metropolitan Statistical Area
Jefferson County,Tennessee,"Morristown, TN",Metropolitan Statistical Area
Latah County,Idaho,"Moscow, ID",Micropolitan Statistical Area
Grant County,Washington,"Moses Lake, WA",Micropolitan Statistical Area
Colquitt County,Georgia,"Moultrie, GA",Micropolitan Statistical Area
Baxter County,Arkansas,"Mountain Home, AR",Micropolitan Statistical Area
Elmore County,Idaho,"Mountain Home, ID",Micropolitan Statistical Area
Surry County,North Carolina,"Mount Airy, NC",Micropolitan Statistical Area
Isabella County,Michigan,"Mount Pleasant, MI",Micropolitan Statistical Area
Camp County,Texas,"Mount Pleasant, TX",Micropolitan Statistical Area
Morris County,Texas,"Mount Pleasant, TX",Micropolitan Statistical Area
Titus County,Texas,"Mount Pleasant, TX",Micropolitan Statistical Area
Bath County,Kentucky,"Mount Sterling, KY",Micropolitan Statistical Area
Menifee County,Kentucky,"Mount Sterling, KY",Micropolitan Statistical Area
Montgomery County,Kentucky,"Mount Sterling, KY",Micropolitan Statistical Area
Jefferson County,Illinois,"Mount Vernon, IL",Micropolitan Statistical Area
Knox County,Ohio,"Mount Vernon, OH",Micropolitan Statistical Area
Skagit County,Washington,"Mount Vernon-Anacortes, WA",Metropolitan Statistical Area
Delaware County,Indiana,"Muncie, IN",Metropolitan Statistical Area
Calloway County,Kentucky,"Murray, KY",Micropolitan Statistical Area
Georgetown County,South Carolina,"Murrells Inlet, SC",Micropolitan Statistical Area
Muscatine County,Iowa,"Muscatine, IA",Micropolitan Statistical Area
Muskegon County,Michigan,"Muskegon-Norton Shores, MI",Metropolitan Statistical Area
Muskogee County,Oklahoma,"Muskogee, OK",Micropolitan Statistical Area
Horry County,South Carolina,"Myrtle Beach-Conway-North Myrtle Beach, SC",Metropolitan Statistical Area
Nacogdoches County,Texas,"Nacogdoches, TX",Micropolitan Statistical Area
Nantucket County,Massachusetts,"Nantucket, MA",Micropolitan Statistical Area
Napa County,California,"Napa, CA",Metropolitan Statistical Area
Collier County,Florida,"Naples-Marco Island, FL",Metropolitan Statistical Area
Cannon County,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan Statistical Area
Cheatham County,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan Statistical Area
Davidson County,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan Statistical Area
Dickson County,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan Statistical Area
Hickman County,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan Statistical Area
Macon County,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan Statistical Area
Maury County,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan Statistical Area
Robertson County,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan Statistical Area
Rutherford County,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan Statistical Area
Smith County,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan Statistical Area
Sumner County,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan Statistical Area
Trousdale County,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan Statistical Area
Williamson County,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan Statistical Area
Wilson County,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",Metropolitan Statistical Area
Concordia Parish,Louisiana,"Natchez, MS-LA",Micropolitan Statistical Area
Adams County,Mississippi,"Natchez, MS-LA",Micropolitan Statistical Area
Jefferson County,Mississippi,"Natchez, MS-LA",Micropolitan Statistical Area
Natchitoches Parish,Louisiana,"Natchitoches, LA",Micropolitan Statistical Area
Craven County,North Carolina,"New Bern, NC",Micropolitan Statistical Area
Jones County,North Carolina,"New Bern, NC",Micropolitan Statistical Area
Pamlico County,North Carolina,"New Bern, NC",Micropolitan Statistical Area
Newberry County,South Carolina,"Newberry, SC",Micropolitan Statistical Area
Henry County,Indiana,"New Castle, IN",Micropolitan Statistical Area
South Central Connecticut Planning Region,Connecticut,"New Haven, CT",Metropolitan Statistical Area
Iberia Parish,Louisiana,"New Iberia, LA",Micropolitan Statistical Area
Jefferson Parish,Louisiana,"New Orleans-Metairie, LA",Metropolitan Statistical Area
Orleans Parish,Louisiana,"New Orleans-Metairie, LA",Metropolitan Statistical Area
Plaquemines Parish,Louisiana,"New Orleans-Metairie, LA",Metropolitan Statistical Area
St. Bernard Parish,Louisiana,"New Orleans-Metairie, LA",Metropolitan Statistical Area
St. Charles Parish,Louisiana,"New Orleans-Metairie, LA",Metropolitan Statistical Area
St. James Parish,Louisiana,"New Orleans-Metairie, LA",Metropolitan Statistical Area
St. John the Baptist Parish,Louisiana,"New Orleans-Metairie, LA",Metropolitan Statistical Area
Tuscarawas County,Ohio,"New Philadelphia-Dover, OH",Micropolitan Statistical Area
Lincoln County,Oregon,"Newport, OR",Micropolitan Statistical Area
Cocke County,Tennessee,"Newport, TN",Micropolitan Statistical Area
Brown County,Minnesota,"New Ulm, MN",Micropolitan Statistical Area
Middlesex County,New Jersey,"New York-Newark-Jersey City, NY-NJ",Metropolitan Statistical Area
Monmouth County,New Jersey,"New York-Newark-Jersey City, NY-NJ",Metropolitan Statistical Area
Ocean County,New Jersey,"New York-Newark-Jersey City, NY-NJ",Metropolitan Statistical Area
Somerset County,New Jersey,"New York-Newark-Jersey City, NY-NJ",Metropolitan Statistical Area
Nassau County,New York,"New York-Newark-Jersey City, NY-NJ",Metropolitan Statistical Area
Suffolk County,New York,"New York-Newark-Jersey City, NY-NJ",Metropolitan Statistical Area
Essex County,New Jersey,"New York-Newark-Jersey City, NY-NJ",Metropolitan Statistical Area
Hunterdon County,New Jersey,"New York-Newark-Jersey City, NY-NJ",Metropolitan Statistical Area
Morris County,New Jersey,"New York-Newark-Jersey City, NY-NJ",Metropolitan Statistical Area
Sussex County,New Jersey,"New York-Newark-Jersey City, NY-NJ",Metropolitan Statistical Area
Union County,New Jersey,"New York-Newark-Jersey City, NY-NJ",Metropolitan Statistical Area
Bergen County,New Jersey,"New York-Newark-Jersey City, NY-NJ",Metropolitan Statistical Area
Hudson County,New Jersey,"New York-Newark-Jersey City, NY-NJ",Metropolitan Statistical Area
Passaic County,New Jersey,"New York-Newark-Jersey City, NY-NJ",Metropolitan Statistical Area
Bronx County,New York,"New York-Newark-Jersey City, NY-NJ",Metropolitan Statistical Area
Kings County,New York,"New York-Newark-Jersey City, NY-NJ",Metropolitan Statistical Area
New York County,New York,"New York-Newark-Jersey City, NY-NJ",Metropolitan Statistical Area
Putnam County,New York,"New York-Newark-Jersey City, NY-NJ",Metropolitan Statistical Area
Queens County,New York,"New York-Newark-Jersey City, NY-NJ",Metropolitan Statistical Area
Richmond County,New York,"New York-Newark-Jersey City, NY-NJ",Metropolitan Statistical Area
Rockland County,New York,"New York-Newark-Jersey City, NY-NJ",Metropolitan Statistical Area
Westchester County,New York,"New York-Newark-Jersey City, NY-NJ",Metropolitan Statistical Area
Berrien County,Michigan,"Niles, MI",Metropolitan Statistical Area
Santa Cruz County,Arizona,"Nogales, AZ",Micropolitan Statistical Area
Madison County,Nebraska,"Norfolk, NE",Micropolitan Statistical Area
Pierce County,Nebraska,"Norfolk, NE",Micropolitan Statistical Area
Stanton County,Nebraska,"Norfolk, NE",Micropolitan Statistical Area
Lincoln County,Nebraska,"North Platte, NE",Micropolitan Statistical Area
Logan County,Nebraska,"North Platte, NE",Micropolitan Statistical Area
Manatee County,Florida,"North Port-Bradenton-Sarasota, FL",Metropolitan Statistical Area
Sarasota County,Florida,"North Port-Bradenton-Sarasota, FL",Metropolitan Statistical Area
Wilkes County,North Carolina,"North Wilkesboro, NC",Micropolitan Statistical Area
Huron County,Ohio,"Norwalk, OH",Micropolitan Statistical Area
Southeastern Connecticut Planning Region,Connecticut,"Norwich-New London-Willimantic, CT",Metropolitan Statistical Area
Island County,Washington,"Oak Harbor, WA",Micropolitan Statistical Area
Marion County,Florida,"Ocala, FL",Metropolitan Statistical Area
Worcester County,Maryland,"Ocean Pines, MD",Micropolitan Statistical Area
Ector County,Texas,"Odessa, TX",Metropolitan Statistical Area
Davis County,Utah,"Ogden, UT",Metropolitan Statistical Area
Morgan County,Utah,"Ogden, UT",Metropolitan Statistical Area
Weber County,Utah,"Ogden, UT",Metropolitan Statistical Area
Venango County,Pennsylvania,"Oil City, PA",Micropolitan Statistical Area
Okeechobee County,Florida,"Okeechobee, FL",Micropolitan Statistical Area
Canadian County,Oklahoma,"Oklahoma City, OK",Metropolitan Statistical Area
Cleveland County,Oklahoma,"Oklahoma City, OK",Metropolitan Statistical Area
Grady County,Oklahoma,"Oklahoma City, OK",Metropolitan Statistical Area
Lincoln County,Oklahoma,"Oklahoma City, OK",Metropolitan Statistical Area
Logan County,Oklahoma,"Oklahoma City, OK",Metropolitan Statistical Area
McClain County,Oklahoma,"Oklahoma City, OK",Metropolitan Statistical Area
Oklahoma County,Oklahoma,"Oklahoma City, OK",Metropolitan Statistical Area
Cattaraugus County,New York,"Olean, NY",Micropolitan Statistical Area
Thurston County,Washington,"Olympia-Lacey-Tumwater, WA",Metropolitan Statistical Area
Harrison County,Iowa,"Omaha, NE-IA",Metropolitan Statistical Area
Mills County,Iowa,"Omaha, NE-IA",Metropolitan Statistical Area
Pottawattamie County,Iowa,"Omaha, NE-IA",Metropolitan Statistical Area
Cass County,Nebraska,"Omaha, NE-IA",Metropolitan Statistical Area
Douglas County,Nebraska,"Omaha, NE-IA",Metropolitan Statistical Area
Sarpy County,Nebraska,"Omaha, NE-IA",Metropolitan Statistical Area
Saunders County,Nebraska,"Omaha, NE-IA",Metropolitan Statistical Area
Washington County,Nebraska,"Omaha, NE-IA",Metropolitan Statistical Area
Otsego County,New York,"Oneonta, NY",Micropolitan Statistical Area
Payette County,Idaho,"Ontario, OR-ID",Micropolitan Statistical Area
Malheur County,Oregon,"Ontario, OR-ID",Micropolitan Statistical Area
St. Landry Parish,Louisiana,"Opelousas, LA",Micropolitan Statistical Area
Orangeburg County,South Carolina,"Orangeburg, SC",Micropolitan Statistical Area
Lake County,Florida,"Orlando-Kissimmee-Sanford, FL",Metropolitan Statistical Area
Orange County,Florida,"Orlando-Kissimmee-Sanford, FL",Metropolitan Statistical Area
Osceola County,Florida,"Orlando-Kissimmee-Sanford, FL",Metropolitan Statistical Area
Seminole County,Florida,"Orlando-Kissimmee-Sanford, FL",Metropolitan Statistical Area
Winnebago County,Wisconsin,"Oshkosh-Neenah, WI",Metropolitan Statistical Area
Mahaska County,Iowa,"Oskaloosa, IA",Micropolitan Statistical Area
Adams County,Washington,"Othello, WA",Micropolitan Statistical Area
Bureau County,Illinois,"Ottawa, IL",Micropolitan Statistical Area
LaSalle County,Illinois,"Ottawa, IL",Micropolitan Statistical Area
Putnam County,Illinois,"Ottawa, IL",Micropolitan Statistical Area
Franklin County,Kansas,"Ottawa, KS",Micropolitan Statistical Area
Wapello County,Iowa,"Ottumwa, IA",Micropolitan Statistical Area
Steele County,Minnesota,"Owatonna, MN",Micropolitan Statistical Area
Daviess County,Kentucky,"Owensboro, KY",Metropolitan Statistical Area
McLean County,Kentucky,"Owensboro, KY",Metropolitan Statistical Area
Shiawassee County,Michigan,"Owosso, MI",Micropolitan Statistical Area
Lafayette County,Mississippi,"Oxford, MS",Micropolitan Statistical Area
Yalobusha County,Mississippi,"Oxford, MS",Micropolitan Statistical Area
Ventura County,California,"Oxnard-Thousand Oaks-Ventura, CA",Metropolitan Statistical Area
Dale County,Alabama,"Ozark, AL",Micropolitan Statistical Area
Massac County,Illinois,"Paducah, KY-IL",Metropolitan Statistical Area
Ballard County,Kentucky,"Paducah, KY-IL",Metropolitan Statistical Area
Carlisle County,Kentucky,"Paducah, KY-IL",Metropolitan Statistical Area
Livingston County,Kentucky,"Paducah, KY-IL",Metropolitan Statistical Area
McCracken County,Kentucky,"Paducah, KY-IL",Metropolitan Statistical Area
Nye County,Nevada,"Pahrump, NV",Micropolitan Statistical Area
Putnam County,Florida,"Palatka, FL",Micropolitan Statistical Area
Anderson County,Texas,"Palestine, TX",Micropolitan Statistical Area
Brevard County,Florida,"Palm Bay-Melbourne-Titusville, FL",Metropolitan Statistical Area
Gray County,Texas,"Pampa, TX",Micropolitan Statistical Area
Roberts County,Texas,"Pampa, TX",Micropolitan Statistical Area
Bay County,Florida,"Panama City-Panama City Beach, FL",Metropolitan Statistical Area
Washington County,Florida,"Panama City-Panama City Beach, FL",Metropolitan Statistical Area
Greene County,Arkansas,"Paragould, AR",Micropolitan Statistical Area
Henry County,Tennessee,"Paris, TN",Micropolitan Statistical Area
Lamar County,Texas,"Paris, TX",Micropolitan Statistical Area
Red River County,Texas,"Paris, TX",Micropolitan Statistical Area
Wirt County,West Virginia,"Parkersburg-Vienna, WV",Metropolitan Statistical Area
Wood County,West Virginia,"Parkersburg-Vienna, WV",Metropolitan Statistical Area
Gila County,Arizona,"Payson, AZ",Micropolitan Statistical Area
Marion County,Iowa,"Pella, IA",Micropolitan Statistical Area
Escambia County,Florida,"Pensacola-Ferry Pass-Brent, FL",Metropolitan Statistical Area
Santa Rosa County,Florida,"Pensacola-Ferry Pass-Brent, FL",Metropolitan Statistical Area
Marshall County,Illinois,"Peoria, IL",Metropolitan Statistical Area
Peoria County,Illinois,"Peoria, IL",Metropolitan Statistical Area
Stark County,Illinois,"Peoria, IL",Metropolitan Statistical Area
Tazewell County,Illinois,"Peoria, IL",Metropolitan Statistical Area
Woodford County,Illinois,"Peoria, IL",Metropolitan Statistical Area
Miami County,Indiana,"Peru, IN",Micropolitan Statistical Area
Emmet County,Michigan,"Petoskey, MI",Micropolitan Statistical Area
Burlington County,New Jersey,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metropolitan Statistical Area
Camden County,New Jersey,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metropolitan Statistical Area
Gloucester County,New Jersey,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metropolitan Statistical Area
Bucks County,Pennsylvania,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metropolitan Statistical Area
Chester County,Pennsylvania,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metropolitan Statistical Area
Montgomery County,Pennsylvania,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metropolitan Statistical Area
Delaware County,Pennsylvania,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metropolitan Statistical Area
Philadelphia County,Pennsylvania,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metropolitan Statistical Area
New Castle County,Delaware,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metropolitan Statistical Area
Cecil County,Maryland,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metropolitan Statistical Area
Salem County,New Jersey,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metropolitan Statistical Area
Maricopa County,Arizona,"Phoenix-Mesa-Chandler, AZ",Metropolitan Statistical Area
Pinal County,Arizona,"Phoenix-Mesa-Chandler, AZ",Metropolitan Statistical Area
Pearl River County,Mississippi,"Picayune, MS",Micropolitan Statistical Area
Hughes County,South Dakota,"Pierre, SD",Micropolitan Statistical Area
Stanley County,South Dakota,"Pierre, SD",Micropolitan Statistical Area
Floyd County,Kentucky,"Pikeville, KY",Micropolitan Statistical Area
Pike County,Kentucky,"Pikeville, KY",Micropolitan Statistical Area
Cleveland County,Arkansas,"Pine Bluff, AR",Micropolitan Statistical Area
Jefferson County,Arkansas,"Pine Bluff, AR",Micropolitan Statistical Area
Moore County,North Carolina,"Pinehurst-Southern Pines, NC",Metropolitan Statistical Area
Crawford County,Kansas,"Pittsburg, KS",Micropolitan Statistical Area
Allegheny County,Pennsylvania,"Pittsburgh, PA",Metropolitan Statistical Area
Armstrong County,Pennsylvania,"Pittsburgh, PA",Metropolitan Statistical Area
Beaver County,Pennsylvania,"Pittsburgh, PA",Metropolitan Statistical Area
Butler County,Pennsylvania,"Pittsburgh, PA",Metropolitan Statistical Area
Fayette County,Pennsylvania,"Pittsburgh, PA",Metropolitan Statistical Area
Lawrence County,Pennsylvania,"Pittsburgh, PA",Metropolitan Statistical Area
Washington County,Pennsylvania,"Pittsburgh, PA",Metropolitan Statistical Area
Westmoreland County,Pennsylvania,"Pittsburgh, PA",Metropolitan Statistical Area
Berkshire County,Massachusetts,"Pittsfield, MA",Metropolitan Statistical Area
Floyd County,Texas,"Plainview, TX",Micropolitan Statistical Area
Hale County,Texas,"Plainview, TX",Micropolitan Statistical Area
Grant County,Wisconsin,"Platteville, WI",Micropolitan Statistical Area
Clinton County,New York,"Plattsburgh, NY",Micropolitan Statistical Area
Marshall County,Indiana,"Plymouth, IN",Micropolitan Statistical Area
Bannock County,Idaho,"Pocatello, ID",Metropolitan Statistical Area
Kay County,Oklahoma,"Ponca City, OK",Micropolitan Statistical Area
Guayanilla Municipio,Puerto Rico,"Ponce, PR",Metropolitan Statistical Area
Juana Díaz Municipio,Puerto Rico,"Ponce, PR",Metropolitan Statistical Area
Peñuelas Municipio,Puerto Rico,"Ponce, PR",Metropolitan Statistical Area
Ponce Municipio,Puerto Rico,"Ponce, PR",Metropolitan Statistical Area
Villalba Municipio,Puerto Rico,"Ponce, PR",Metropolitan Statistical Area
Yauco Municipio,Puerto Rico,"Ponce, PR",Metropolitan Statistical Area
Livingston County,Illinois,"Pontiac, IL",Micropolitan Statistical Area
Butler County,Missouri,"Poplar Bluff, MO",Micropolitan Statistical Area
Clallam County,Washington,"Port Angeles, WA",Micropolitan Statistical Area
Cumberland County,Maine,"Portland-South Portland, ME",Metropolitan Statistical Area
Sagadahoc County,Maine,"Portland-South Portland, ME",Metropolitan Statistical Area
York County,Maine,"Portland-South Portland, ME",Metropolitan Statistical Area
Clackamas County,Oregon,"Portland-Vancouver-Hillsboro, OR-WA",Metropolitan Statistical Area
Columbia County,Oregon,"Portland-Vancouver-Hillsboro, OR-WA",Metropolitan Statistical Area
Multnomah County,Oregon,"Portland-Vancouver-Hillsboro, OR-WA",Metropolitan Statistical Area
Washington County,Oregon,"Portland-Vancouver-Hillsboro, OR-WA",Metropolitan Statistical Area
Yamhill County,Oregon,"Portland-Vancouver-Hillsboro, OR-WA",Metropolitan Statistical Area
Clark County,Washington,"Portland-Vancouver-Hillsboro, OR-WA",Metropolitan Statistical Area
Skamania County,Washington,"Portland-Vancouver-Hillsboro, OR-WA",Metropolitan Statistical Area
Calhoun County,Texas,"Port Lavaca, TX",Micropolitan Statistical Area
Martin County,Florida,"Port St. Lucie, FL",Metropolitan Statistical Area
St. Lucie County,Florida,"Port St. Lucie, FL",Metropolitan Statistical Area
Scioto County,Ohio,"Portsmouth, OH",Micropolitan Statistical Area
Jefferson County,Washington,"Port Townsend, WA",Micropolitan Statistical Area
Schuylkill County,Pennsylvania,"Pottsville, PA",Micropolitan Statistical Area
Yavapai County,Arizona,"Prescott Valley-Prescott, AZ",Metropolitan Statistical Area
Carbon County,Utah,"Price, UT",Micropolitan Statistical Area
Bristol County,Massachusetts,"Providence-Warwick, RI-MA",Metropolitan Statistical Area
Bristol County,Rhode Island,"Providence-Warwick, RI-MA",Metropolitan Statistical Area
Kent County,Rhode Island,"Providence-Warwick, RI-MA",Metropolitan Statistical Area
Newport County,Rhode Island,"Providence-Warwick, RI-MA",Metropolitan Statistical Area
Providence County,Rhode Island,"Providence-Warwick, RI-MA",Metropolitan Statistical Area
Washington County,Rhode Island,"Providence-Warwick, RI-MA",Metropolitan Statistical Area
Juab County,Utah,"Provo-Orem-Lehi, UT",Metropolitan Statistical Area
Utah County,Utah,"Provo-Orem-Lehi, UT",Metropolitan Statistical Area
Pueblo County,Colorado,"Pueblo, CO",Metropolitan Statistical Area
Whitman County,Washington,"Pullman, WA",Micropolitan Statistical Area
Charlotte County,Florida,"Punta Gorda, FL",Metropolitan Statistical Area
Northeastern Connecticut Planning Region,Connecticut,"Putnam, CT",Micropolitan Statistical Area
Adams County,Illinois,"Quincy, IL-MO",Micropolitan Statistical Area
Lewis County,Missouri,"Quincy, IL-MO",Micropolitan Statistical Area
Racine County,Wisconsin,"Racine-Mount Pleasant, WI",Metropolitan Statistical Area
Franklin County,North Carolina,"Raleigh-Cary, NC",Metropolitan Statistical Area
Johnston County,North Carolina,"Raleigh-Cary, NC",Metropolitan Statistical Area
Wake County,North Carolina,"Raleigh-Cary, NC",Metropolitan Statistical Area
Custer County,South Dakota,"Rapid City, SD",Metropolitan Statistical Area
Meade County,South Dakota,"Rapid City, SD",Metropolitan Statistical Area
Pennington County,South Dakota,"Rapid City, SD",Metropolitan Statistical Area
Willacy County,Texas,"Raymondville, TX",Micropolitan Statistical Area
Berks County,Pennsylvania,"Reading, PA",Metropolitan Statistical Area
Tehama County,California,"Red Bluff, CA",Micropolitan Statistical Area
Shasta County,California,"Redding, CA",Metropolitan Statistical Area
Goodhue County,Minnesota,"Red Wing, MN",Micropolitan Statistical Area
Lyon County,Nevada,"Reno, NV",Metropolitan Statistical Area
Storey County,Nevada,"Reno, NV",Metropolitan Statistical Area
Washoe County,Nevada,"Reno, NV",Metropolitan Statistical Area
Fremont County,Idaho,"Rexburg, ID",Micropolitan Statistical Area
Madison County,Idaho,"Rexburg, ID",Micropolitan Statistical Area
Barron County,Wisconsin,"Rice Lake, WI",Micropolitan Statistical Area
Wayne County,Indiana,"Richmond, IN",Micropolitan Statistical Area
Amelia County,Virginia,"Richmond, VA",Metropolitan Statistical Area
Charles City County,Virginia,"Richmond, VA",Metropolitan Statistical Area
Chesterfield County,Virginia,"Richmond, VA",Metropolitan Statistical Area
Dinwiddie County,Virginia,"Richmond, VA",Metropolitan Statistical Area
Goochland County,Virginia,"Richmond, VA",Metropolitan Statistical Area
Hanover County,Virginia,"Richmond, VA",Metropolitan Statistical Area
Henrico County,Virginia,"Richmond, VA",Metropolitan Statistical Area
King and Queen County,Virginia,"Richmond, VA",Metropolitan Statistical Area
King William County,Virginia,"Richmond, VA",Metropolitan Statistical Area
New Kent County,Virginia,"Richmond, VA",Metropolitan Statistical Area
Powhatan County,Virginia,"Richmond, VA",Metropolitan Statistical Area
Prince George County,Virginia,"Richmond, VA",Metropolitan Statistical Area
Sussex County,Virginia,"Richmond, VA",Metropolitan Statistical Area
Colonial Heights city,Virginia,"Richmond, VA",Metropolitan Statistical Area
Hopewell city,Virginia,"Richmond, VA",Metropolitan Statistical Area
Petersburg city,Virginia,"Richmond, VA",Metropolitan Statistical Area
Richmond city,Virginia,"Richmond, VA",Metropolitan Statistical Area
Estill County,Kentucky,"Richmond-Berea, KY",Micropolitan Statistical Area
Madison County,Kentucky,"Richmond-Berea, KY",Micropolitan Statistical Area
Rockcastle County,Kentucky,"Richmond-Berea, KY",Micropolitan Statistical Area
Garfield County,Colorado,"Rifle, CO",Micropolitan Statistical Area
Pitkin County,Colorado,"Rifle, CO",Micropolitan Statistical Area
Starr County,Texas,"Rio Grande City-Roma, TX",Micropolitan Statistical Area
Riverside County,California,"Riverside-San Bernardino-Ontario, CA",Metropolitan Statistical Area
San Bernardino County,California,"Riverside-San Bernardino-Ontario, CA",Metropolitan Statistical Area
Fremont County,Wyoming,"Riverton, WY",Micropolitan Statistical Area
Botetourt County,Virginia,"Roanoke, VA",Metropolitan Statistical Area
Craig County,Virginia,"Roanoke, VA",Metropolitan Statistical Area
Franklin County,Virginia,"Roanoke, VA",Metropolitan Statistical Area
Roanoke County,Virginia,"Roanoke, VA",Metropolitan Statistical Area
Roanoke city,Virginia,"Roanoke, VA",Metropolitan Statistical Area
Salem city,Virginia,"Roanoke, VA",Metropolitan Statistical Area
Halifax County,North Carolina,"Roanoke Rapids, NC",Micropolitan Statistical Area
Northampton County,North Carolina,"Roanoke Rapids, NC",Micropolitan Statistical Area
Ogle County,Illinois,"Rochelle, IL",Micropolitan Statistical Area
Dodge County,Minnesota,"Rochester, MN",Metropolitan Statistical Area
Fillmore County,Minnesota,"Rochester, MN",Metropolitan Statistical Area
Olmsted County,Minnesota,"Rochester, MN",Metropolitan Statistical Area
Wabasha County,Minnesota,"Rochester, MN",Metropolitan Statistical Area
Livingston County,New York,"Rochester, NY",Metropolitan Statistical Area
Monroe County,New York,"Rochester, NY",Metropolitan Statistical Area
Ontario County,New York,"Rochester, NY",Metropolitan Statistical Area
Orleans County,New York,"Rochester, NY",Metropolitan Statistical Area
Wayne County,New York,"Rochester, NY",Metropolitan Statistical Area
Boone County,Illinois,"Rockford, IL",Metropolitan Statistical Area
Winnebago County,Illinois,"Rockford, IL",Metropolitan Statistical Area
Richmond County,North Carolina,"Rockingham, NC",Micropolitan Statistical Area
Sweetwater County,Wyoming,"Rock Springs, WY",Micropolitan Statistical Area
Edgecombe County,North Carolina,"Rocky Mount, NC",Metropolitan Statistical Area
Nash County,North Carolina,"Rocky Mount, NC",Metropolitan Statistical Area
Phelps County,Missouri,"Rolla, MO",Micropolitan Statistical Area
Floyd County,Georgia,"Rome, GA",Metropolitan Statistical Area
Douglas County,Oregon,"Roseburg, OR",Micropolitan Statistical Area
